time_stamp;alpha;title
2008-01-02;0.0;
2008-01-03;0.032688254028693464;Municipal Investors Bundle Stakes in German RWE
2008-01-04;0.008594104596935104;German RWE Eprimo with 87,000 Customers in 2007 RWE AG 's npower hikes UK gas prices by 17.2 pct, electricity by 12.7 pct RWE 's discount unit Eprimo adds 87,000 new customers in 2007 - report
2008-01-07;0.030323425962989425;German RWE Eprimo with 87,000 Customers in 2007 RWE AG 's npower hikes UK gas prices by 17.2 pct, electricity by 12.7 pct RWE 's discount unit Eprimo adds 87,000 new customers in 2007 - report
2008-01-08;-0.015890406944014224;German RWE Eprimo with 87,000 Customers in 2007 RWE AG 's npower hikes UK gas prices by 17.2 pct, electricity by 12.7 pct RWE 's discount unit Eprimo adds 87,000 new customers in 2007 - report
2008-01-09;0.011520639852331982;Germany 's RWE to up stake in Budapest power company ELMU by around 10 pct German RWE Files Highest Bid for Budapest's 10.54 Pct in Elmu
2008-01-10;0.00012007458214569056;Germany 's RWE and Hungary 's MVM bid today for stake in electricity company Elmu German E.on, RWE Want to Build Nuclear Power Plants in UK
2008-01-11;-0.020869821974932812;Hungary 's electricity wholesaler MVM beats Germany 's RWE in bid for Elmu stake MVM beats RWE in bid for Elmu stake with 19.2 bln forint bid STOCKWATCH Elmu , Emasz down as MVM beats RWE in bid for Elmu stake RWE plans to offer stakes in new power plants to companies, municipalities - CEO
2008-01-14;-0.029886055395288658;Hungary 's electricity wholesaler MVM beats Germany 's RWE in bid for Elmu stake MVM beats RWE in bid for Elmu stake with 19.2 bln forint bid STOCKWATCH Elmu , Emasz down as MVM beats RWE in bid for Elmu stake RWE plans to offer stakes in new power plants to companies, municipalities - CEO
2008-01-15;0.027585116247975883;German regulator orders RWE , other utilities to slash power transmission prices HSBC Mini-Long Futures On German RWE Seen Promising
2008-01-16;0.0060425348167560955;German regulator orders RWE , other utilities to slash power transmission prices HSBC Mini-Long Futures On German RWE Seen Promising
2008-01-17;-0.003637556327043434;German regulator orders EnBW, RWE to cut power transmission prices - report Verdi, RWE Reach Agreement, Prevent Strikes RWE offers wage increase of 3.9 pct to employees - ver.di union Czech RWE Transgas Market Share Seen Down to 70 Pct 2008 RWE , ver.di trade union agree on 3.9 pct wage increase
2008-01-18;0.01960143285096283;German regulator orders EnBW, RWE to cut power transmission prices - report Verdi, RWE Reach Agreement, Prevent Strikes RWE offers wage increase of 3.9 pct to employees - ver.di union Czech RWE Transgas Market Share Seen Down to 70 Pct 2008 RWE , ver.di trade union agree on 3.9 pct wage increase
2008-01-21;-0.0007435450804340604;German regulator orders EnBW, RWE to cut power transmission prices - report Verdi, RWE Reach Agreement, Prevent Strikes RWE offers wage increase of 3.9 pct to employees - ver.di union Czech RWE Transgas Market Share Seen Down to 70 Pct 2008 RWE , ver.di trade union agree on 3.9 pct wage increase
2008-01-22;-0.04169414324047871;Research and Markets: New Company Profile Examines RWE AG , German Integrated Electricity and Gas Company
2008-01-23;-0.019165169799848947;RWE says CEO Grossmann bought RWE shares for 1.736 mln eur RWE plans IPO for American Water unit by year-end, earliest possible date April
2008-01-24;-0.00335300497673785;RWE says CEO Grossmann bought RWE shares for 1.736 mln eur RWE plans IPO for American Water unit by year-end, earliest possible date April
2008-01-25;0.007943088659370545;France 's Sarkozy asks Merkel if EDF attempt to buy RWE would be opposed EdF has no plans to take over RWE - RWE CEO RWE signs MoU to take stake in Turkish electricity producer
2008-01-28;0.015821840055221692;German RWE Again Subject to Takeover Rumours RWE sees growth opportunities in Russia and Turkey , considers acquisitions RWE Signs Memorandum Of Understanding with Turkish Energy Firm
2008-01-29;-0.01547789145594436;RWE 's DEA unit awarded gas exploration concession in Libya
2008-01-30;0.0007568480489403839;RWE 's DEA unit awarded gas exploration concession in Libya
2008-01-31;-5.327312126279793e-05;RWE halts investments in German power plants due to rising emission costs German RWE, Steag Cancel Power Plant Construction Projects
2008-02-01;-0.02333324597114217;German RWE To Invest 3.0 Bln Euro in High-Voltage Grid RWE moves on with restructuring by breaking up RWE Systems unit - report RWE to invest 3 bln eur in power transmission grid by 2017 RENEWABLES - German RWE Launches Renewable Energy Unit
2008-02-04;0.0083491352436047;German RWE WWE To Raise Natural Gas Prices by 0.5 Euro/kWh Czech RWE Transgas Spins Off End-user Service Operations
2008-02-05;0.024669187969413642;RWE confirms participation in Nabucco pipeline consortium RWE enters Nabucco pipeline consortium - report
2008-02-06;0.0063732753956857735;RWE confirms participation in Nabucco pipeline consortium RWE enters Nabucco pipeline consortium - report
2008-02-07;0.027036763142718634;RWE plans 10.5 MW sea current power plant off Welsh coast German RWE To Build 10.5 MW Sea Current Power Plant Offshore Wales
2008-02-08;-0.017629055168361774;RWE to restart Biblis nuclear reactor after receiving approval
2008-02-11;0.017229175758004978;RWE to restart Biblis nuclear reactor after receiving approval
